# Main Simulation (Up to date)
# 968 data points written for 6 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral velocity (m/s),Lateral acceleration (m/s²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,25.947,0,0
0.01,0.0012973,0.25947,97.424,0,0
0.02,0.0087644,1.234,147.68,0,0
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.028491,2.7115,170.08,0,0
0.04,0.064115,4.4134,165.21,0,0
0.05,0.11651,6.0666,157.38,0,0
0.06,0.18505,7.6415,149.54,0,0
0.07,0.26895,9.1379,146.87,0,0
0.08,0.36768,10.608,149.37,0,0
0.089427,0.47432,12.016,151.67,0,0
0.097749,0.57957,13.278,153.64,0,0
0.10528,0.68392,14.435,155.44,0,0
0.11221,0.78765,15.512,157.12,0,0
0.11865,0.89092,16.525,158.69,0,0
0.12471,0.99383,17.486,160.17,0,0
# Event LAUNCHROD occurred at t=0.13042 seconds
0.13042,1.0964,18.402,161.57,0,0.15728
0.139,1.2603,19.791,164.06,0.0013847,0.16489
0.15187,1.5285,21.909,166.04,0.0035457,0.16909
0.17117,1.9824,25.118,166.92,0.0067038,0.15409
0.20013,2.7797,29.962,168.23,0.010321,0.085246
0.24355,4.24,37.293,170.18,0.010561,0.10296
0.29355,6.318,45.832,172.33,0.0059254,0.61683
0.34355,8.8255,54.475,174.06,0.055332,1.4161
0.39355,11.767,63.204,175.19,0.15289,2.5446
0.44355,15.147,71.989,176.29,0.3147,3.9755
0.49355,18.967,80.828,177.33,0.55361,5.6075
0.54355,23.231,89.718,178.32,0.87645,7.3048
0.59355,27.94,98.656,179.26,1.2808,8.8179
0.64355,33.098,107.64,178.51,1.7504,9.7868
0.69355,38.703,116.59,157.66,2.2497,8.9592
0.74082,44.392,124.11,112.49,2.6665,6.296
0.79082,50.737,129.68,76.278,2.9554,3.763
0.84082,57.316,133.5,59.343,3.118,2.1421
0.89082,64.066,136.47,57.6,3.2053,1.3556
0.93769,70.525,139.17,57.378,3.2601,1.0566
0.97376,75.582,141.24,57.214,3.3014,1.3289
1.0189,82.009,143.82,56.936,3.3778,2.0484
1.0689,89.271,146.66,56.622,3.5021,2.9344
1.1189,96.675,149.49,56.311,3.669,3.6554
1.1643,103.52,152.05,56.061,3.8409,3.8116
1.2045,109.68,154.3,55.863,3.9894,3.5062
1.2545,117.47,157.09,55.588,4.1473,2.7518
